Start report at 10: 44:34 PM,10,iterations,5,generations, kValue:,50,Inherit ELO:,False,ELO cutoff:,1000,
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,2851,2000,"280,359081536796","88,2255213459199","0,644865661057766","0,166868672620609","47,8013019843117","55,5378943263317","0,130889899120907","0,137761559404143"
0,1,3501,1350,"268,138685949075","158,496087764176","0,577076389831848","0,323481950516588","35,0855153453954","49,9561822258705","0,0962747354008205","0,125868050418657"
0,2,2931,1920,"314,667982928106","148,952081536351","0,667837088870372","0,188451706295904","33,9340414696988","67,9494908156501","0,0879486046718356","0,120152315320957"
0,3,2796,2055,"329,784960563485","95,5273017876978","0,714083787814915","0,153837790674175","26,3418052055953","87,199211703392","0,0590143638974087","0,142248574454807"
0,4,3094,1757,"348,59758555484","83,5965163653932","0,743846200525183","0,128657893194097","22,6178157050275","43,4303683807363","0,0615190337273107","0,10417620211682"
0,Average,15173,9082,"307,189667064759","124,872304023235","0,666600234832366","0,218045942585376","33,2518521468797","64,7426178741254","0,0869825448217249","0,130400764552061"
1,0,4505,346,"188,611433284787","179,367227706302","0,407421789401116","0,376591471229214","23,9926871510323","15,5800405253779","0,0687961807319225","0,0445065309352278"
1,1,4421,430,"205,484843046502","194,745052995419","0,433766330643312","0,352828715944392","45,5105721758809","101,576752922378","0,108523180896125","0,160985574805567"
1,2,2835,2016,"314,933090802878","118,075437809756","0,680408038939954","0,193878645862474","59,9996603137275","124,055878334653","0,13603725630314","0,200887930748236"
1,3,3583,1268,"334,486190658497","139,448040967638","0,69654981813958","0,20440937622025","19,1366656172171","39,5934923004764","0,0524774727876492","0,0985957345473681"
1,4,3290,1561,"254,663092956903","121,680862561331","0,582733441194101","0,227331534907793","92,4389489723022","129,195671806848","0,218818367304255","0,234747835771609"
1,Average,18634,5621,"251,544698263408","169,25484001846","0,541751847125875","0,318838638730813","56,4655439122497","109,841671600242","0,133932834350185","0,19464010488121"
2,0,3327,1524,"332,09994498144","164,127171331718","0,672386940376049","0,262736131792499","76,7055451619575","147,653922602762","0,166729182269728","0,235493857775823"
2,1,3393,1458,"311,47885179349","123,985249315191","0,671170981132642","0,216932896594496","30,7198618943043","56,7378577182668","0,0818498692443477","0,130306503498699"
2,2,3695,1156,"257,829351248068","151,76252599603","0,572682533744118","0,245008848682236","74,6301105934231","172,229421001705","0,144116217636936","0,268377212596258"
2,3,3115,1736,"286,98012987307","112,997661343426","0,641365422972159","0,189743407044598","57,5171293749861","71,6607890913243","0,1535735280409","0,153152267630131"
2,4,3891,960,"321,954622174272","243,670383566693","0,598252367745352","0,29439182989701","66,2801299239827","79,9413553307415","0,174290833702147","0,183928851538761"
2,Average,17421,6834,"301,997144445491","171,177602205428","0,628897865062521","0,249985332063483","60,2048403038795","114,266599623229","0,142515887585409","0,199932498607521"
3,0,3154,1697,"267,746138955424","101,517132941586","0,617160558540832","0,179819550391251","42,5885946331515","43,7718527872803","0,118395685919424","0,105620950238947"
