Start report at 10: 54:08 PM,10,iterations,5,generations, kValue:,25,Inherit ELO:,True,ELO cutoff:,1000
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,2596,2255,141.145678121981,74.2551171837329,0.370825828423538,0.177826415034932,53.8048817589294,74.5173690271557,0.142162227916052,0.17500846769006,
0,1,3404,1447,291.606649988706,116.733858767704,0.649124823408068,0.170140245879146,40.6735601468416,36.5550706899,0.114890117191294,0.100969950418922,
0,2,2834,2017,318.353900964818,99.1195933330615,0.69690916510236,0.16712460631877,34.2968374230958,101.385458798154,0.075472937962578,0.189691616097195,
0,3,3225,1626,407.634278553698,139.248453409891,0.77756280080406,0.187384570999007,17.9945098944526,61.087631256045,0.0436608424389605,0.104608972354109,
0,4,3072,1779,436.119475952623,147.941165441293,0.801233589913519,0.174946230458114,47.630844435389,120.590805341285,0.102507162417685,0.229739542154034,
0,Average,15131,9124,324.871968195272,156.361501633848,0.668584689985862,0.228948241915985,39.8241688207133,86.6549883289311,0.0978083637816562,0.174791277698141,
1,0,3895,956,210.793878568133,110.235490130133,0.508259076364347,0.254012426832207,21.4633841932406,15.7315467491389,0.0615499896486739,0.0449340710961722,
1,1,3013,1838,336.881033638009,127.923542114748,0.702960471092268,0.215510870472749,38.3442353507545,40.6389750349489,0.107654237503702,0.110184207352376,
1,2,3512,1339,399.653983069621,143.996824153803,0.768574327427876,0.176446816402359,12.067857234268,10.1888985645233,0.0346720119203434,0.029119833130497,
1,3,3311,1540,462.761563636245,156.497600257534,0.822274714117086,0.163002909030346,19.106677808818,38.046267975544,0.0528406352920535,0.0992700409941343,
1,4,3502,1349,479.141752263125,192.966581605225,0.813578313463626,0.184238412723041,10.0012336634604,10.1022580682427,0.0287392520925716,0.0289551847849694,
1,Average,17233,7022,374.270727879058,179.614618119062,0.717729058896199,0.235585403780112,21.3714766074762,30.6709509694775,0.0602791130760352,0.0827803984382141,
2,0,3181,1670,263.315449761374,85.2888648266295,0.620732172150377,0.126954376323914,20.8078823195735,34.9710484207133,0.0579564231328901,0.0890163556377864,
2,1,3319,1532,350.500728160185,173.232289288373,0.701664860493391,0.182920180456616,35.6020764832725,53.6603992745379,0.0969252771280435,0.133731878944146,
2,2,3136,1715,302.468311577867,161.498159723116,0.633435813800856,0.231900446931114,124.739841369429,198.694639421789,0.245481122454172,0.339711826379495,
2,3,3321,1530,231.321093643266,160.795223431513,0.511298898057682,0.253525384654301,44.9785624475085,78.3520208890156,0.11683426416291,0.186766647824142,
2,4,2761,2090,254.91473154717,129.114209437382,0.57736162626479,0.24046752924335,95.1824529291579,138.669568233422,0.219811306798866,0.272334691489066,
2,Average,15718,8537,281.301432329417,152.380722309832,0.609616268878607,0.22123977342066,66.8816797190183,126.650291661718,0.152798281782813,0.240267238088387,
3,0,3306,1545,282.600717836407,137.844046640971,0.619613449262948,0.220474018489349,26.9862583472547,39.5853367261524,0.0749635060567534,0.10119760380407,
3,1,3098,1753,298.701513275978,92.7792337591684,0.670628141498068,0.172588126525845,41.9225995855047,91.774491364712,0.102119343709294,0.197450762010305,
3,2,2708,2143,271.578544741224,117.829247872243,0.612698408926972,0.22018231097719,85.964857244125,112.859747932604,0.213389945999238,0.259513383129521,
3,3,3568,1283,305.296550197242,139.39257522107,0.654074578356867,0.21600685399933,81.0796174622337,126.240763614703,0.190709095046582,0.258985071798837,
3,4,2708,2143,239.2650813005,190.27719835563,0.496342093010188,0.317268669458152,103.542264642469,103.026621551758,0.26400115120918,0.241159305489096,
3,Average,15388,8867,281.538724442479,140.205679802159,0.614964116223519,0.238673232283003,70.5224988865363,103.523320090905,0.176222252920095,0.233726632393686,
4,0,3097,1754,235.710976035574,79.2747830722671,0.571593377491623,0.161719048638017,17.5878652704229,17.8334541599294,0.0503966715849703,0.050913181203006,
4,1,2994,1857,373.806437387753,129.240256881915,0.75549494611945,0.125336014384811,16.2896950300018,12.670012313672,0.0467762108210472,0.0362833487628967,
4,2,3485,1366,403.96569391881,168.501039902235,0.76624060884068,0.172221026781294,13.7540798232667,13.2160544300957,0.0394562064254868,0.0375060913392368,
4,3,2679,2172,340.754922022857,184.571794059265,0.6783942315681,0.21172152393268,121.176639396366,176.040275767749,0.256744377505973,0.324511753576979,
4,4,2290,2561,190.633873216939,80.6469114665505,0.480270024166907,0.16767485137164,92.4574175153203,78.7671653111201,0.246995538876442,0.199332759496189,
4,Average,14545,9710,316.70180923989,159.308510790137,0.661379276885261,0.199959186301803,59.7184613202122,103.862031517264,0.146175152053293,0.213349563251947,
5,0,2829,2022,148.857397955587,72.9384582047263,0.390412569504512,0.178794548877557,42.383832743906,49.2366574816449,0.117102003460069,0.124514526379415,
5,1,2329,2522,374.734405097348,59.289430246693,0.78316632717611,0.0972165785353554,35.5131826688946,62.0514129328725,0.0943499096767527,0.14596391283294,
5,2,2633,2218,273.50177866014,188.064244305362,0.558780447818818,0.296815195463073,47.6919646905321,57.4077688747971,0.130573781600263,0.145097759520266,
5,3,2327,2524,206.601101137973,166.238921644583,0.453914944207772,0.283209174839824,51.7950298347948,100.382627689124,0.125594992378123,0.213779259869822,
5,4,2674,2177,259.088166585207,129.469626340163,0.584578599201461,0.225711704131691,75.0913288243061,115.948104950566,0.182042893936563,0.254561251681771,
5,Average,12792,11463,249.184389563566,152.300889497653,0.548715111293354,0.263891186678992,50.1831642969786,82.8376548919945,0.12890626464736,0.186258029625167,
6,0,2860,1991,146.22640735537,72.9861929842131,0.384180958992819,0.179805412143759,44.1305348670313,51.0949426234788,0.121592411178415,0.127948346855681,
6,1,3412,1439,229.520029260061,103.500740529584,0.547177310064831,0.184655098378596,25.5825704104858,47.0704732474986,0.0696308867769948,0.117626581477303,
6,2,2927,1924,286.211867139501,130.664046764441,0.63084567804039,0.207522441800248,75.9261755626604,117.267060896666,0.182395853427812,0.241767532977986,
6,3,2910,1941,272.079630862026,99.3766927177331,0.62601434524407,0.173622055069174,67.4940011413717,123.397235240699,0.156425249078961,0.249728132428379,
6,4,3311,1540,416.510488913988,208.531684586596,0.748853985390899,0.2293150820505,79.8038934009273,115.535715190107,0.19430153199291,0.249011462526473,
6,Average,15420,8835,273.014912749138,160.171132735516,0.591009670205861,0.23008102878229,59.3846097992458,100.005599439379,0.146696630045815,0.212093619863289,
7,0,2908,1943,262.530109098583,80.0477429655034,0.619355740745925,0.155902007522381,18.9169829525527,13.6216133080098,0.054296923599975,0.0389815046796887,
7,1,2776,2075,213.427204492592,124.564665327005,0.502084960753276,0.235153756178183,83.9953458574629,118.514217946061,0.202803303200088,0.243682714155147,
7,2,3356,1495,256.35336720833,167.211248576435,0.551697268327573,0.257027107407601,69.0428860056976,141.056120273589,0.148557897813096,0.233752272743419,
7,3,2866,1985,205.50616057079,143.743509386186,0.471719586889563,0.258567645379509,60.2066234114001,114.425516902251,0.141983143423972,0.239040254922839,
7,4,3046,1805,273.909885116654,153.104998724794,0.593271525318076,0.247860486823548,113.204683980328,137.202960187001,0.267284335505743,0.281730824701223,
7,Average,14952,9303,243.415164763409,140.992904029976,0.548784361944347,0.240975518201102,68.5918259879268,117.408083840863,0.16260288070622,0.234508057945164,
8,0,3304,1547,246.574838116919,94.1717057475778,0.58467796680905,0.198912437638183,20.7628165287771,13.6329679163179,0.0595905527844759,0.0390262722479249,
8,1,3074,1777,342.106975427028,143.88260300375,0.702647268934307,0.198944609893929,44.7133926696725,82.9898761272813,0.113350061129557,0.185764711351394,
8,2,3433,1418,378.90838153164,191.709496278068,0.708951799335425,0.252564276543796,31.7050302238145,65.9198016415603,0.0817286350193612,0.127625887431257,
8,3,3608,1243,436.279242982512,180.171266290465,0.791933335179627,0.157513382001041,7.99724828489726,8.70583262812106,0.022987577117058,0.0249608917262774,
8,4,3209,1642,463.252319985004,210.127603302892,0.790757798782227,0.227910137348763,76.8237981661942,151.234471119701,0.163113295594015,0.269867630982606,
8,Average,16628,7627,374.536010639395,185.849397895691,0.716886124836419,0.222609776768451,38.3661682192754,89.083352236006,0.0925536171448978,0.171351772715918,
9,0,2882,1969,249.287840685335,76.6902638582491,0.597595186830809,0.153763091676881,17.5036912073299,17.3577006148695,0.0501748760099651,0.049615313757984,
9,1,3020,1831,294.646167416675,130.502121436215,0.643160292626918,0.206072022320126,46.066460324297,95.47655596683,0.111583021430966,0.202608782062779,
9,2,2888,1963,393.298941157679,146.959818558611,0.759462299276384,0.209124642253778,62.8800095117433,100.705966772917,0.155964915972579,0.216738112437658,
