Start report at 10: 37:25 PM,10,iterations,5,generations, kValue:,35,Inherit ELO:,False,ELO cutoff:,1000
Iteration, Generation, Total correct guesses, Total wrong guesses, Average rating difference correct guesses, Standard deviation, Average predicted outcome difference correct guesses, Standard deviation, Average rating difference wrong guesses, Standard deviation, Average predicted outcome difference wrong guesses, Standard deviation
0,0,3059,1792,252.010297398042,89.8766142743901,0.595980197748924,0.177644204528027,31.772978429698,34.1185283994761,0.089549429198759,0.0904627394820343,
0,1,3203,1648,339.074760131616,199.864808153512,0.66718985095646,0.210576730297913,25.5397002599428,38.1686419677475,0.0709936893487522,0.0960040224542394,
0,2,3407,1444,291.909195437148,102.86824605544,0.655372021338808,0.192298259998581,28.9426613856086,30.8982101554484,0.0815625917342818,0.0771399876747475,
0,3,2852,1999,164.145026314655,88.2177961669397,0.419017723336456,0.199655789836444,106.072978110516,127.778924650431,0.254450607785558,0.25272124648786,
0,4,2504,2347,252.974527194129,135.274561168946,0.570011598950589,0.285667718462822,27.1314002175235,15.9960229766562,0.0777643998710889,0.0456765310559584,
0,Average,15025,9230,263.100194105828,142.849949744397,0.586709656236717,0.230826950558149,45.1286116975812,72.578153384094,0.117703832188083,0.154050522319351,
1,0,2957,1894,360.74535504008,197.215533137621,0.702601210956351,0.200368206724277,29.4555203191356,36.5481126349356,0.0825178533186183,0.0946968848496455,
1,1,3004,1847,307.016715716904,100.899473045233,0.678406951675735,0.183648159373983,32.4098607347919,39.1030426735717,0.0904900805653832,0.0988622975777321,
1,2,3958,893,195.32918423332,126.321899777293,0.46591055947544,0.288205437282653,64.6609994755056,127.652576489646,0.144970971451443,0.229978011695679,
1,3,3206,1645,174.75646569012,122.059891826055,0.425084633821678,0.286302303307518,126.487832541588,175.425528714136,0.270397995778385,0.32297494205955,
1,4,3771,1080,240.708971137533,169.270904011859,0.523921287298355,0.311195468373015,32.8739782482097,20.8064186311434,0.0939874585774078,0.0591470696611514,
1,Average,16896,7359,250.360907861312,161.539526177817,0.550315386391453,0.285349426895498,56.6610166914267,105.671247784302,0.135778533607135,0.201426516241828,
2,0,2747,2104,292.839691694416,73.2376237918341,0.671268104606433,0.132982328406675,25.4104122483363,50.7623618849939,0.068002787493793,0.108840651394784,
2,1,3519,1332,233.84115502344,152.099245419169,0.523099733498584,0.305670664154171,29.641684084509,66.6378692679005,0.075067307768697,0.11052331981548,
2,2,3002,1849,321.048541427756,204.300424146106,0.636417764925222,0.225916896916839,39.5690666170484,116.86701771319,0.0838247699049015,0.186083535506315,
2,3,3402,1449,238.432309865195,112.026629657812,0.559180262832811,0.22033410533144,73.3316136398846,87.549337198019,0.19155288564586,0.210668674811634,
2,4,3322,1529,199.11580678686,98.9781602014902,0.489900139340045,0.220977137229811,135.634233489609,180.934692204113,0.290959930088276,0.308594054129889,
2,Average,15992,8263,254.10923007038,142.904321621945,0.570601994302512,0.240999395997279,58.0602306566369,116.028563281552,0.135604185258966,0.213325106009648,
3,0,287,4564,337.625968841309,125.415127782369,0.706067328301583,0.202437672584378,2.81967155234093,15.712286561521,0.0077493058636113,0.0397716627045014,
3,1,2449,2402,296.20632070569,95.1936866597458,0.666100808835628,0.163289819978857,39.6074906353586,134.769497261445,0.0728122539879911,0.216912765344053,
3,2,2667,2184,321.303544887091,191.794383275935,0.6507890886154,0.217502389030954,27.8418337942599,91.6206294867768,0.0618771986865051,0.172566485765213,
3,3,3349,1502,252.239483517785,132.828696315807,0.56936720474753,0.237400253606241,47.6533229691233,58.0883728821794,0.129565048091909,0.135537357979108,
3,4,3367,1484,289.2656531137,153.515656916488,0.624707740830782,0.204648114406379,58.3121408990015,154.303474770807,0.115521296097522,0.222324032883066,
3,Average,12119,12136,288.632062960181,149.638225362944,0.625445864797014,0.213255713543856,26.9383031205851,94.612665596826,0.058622525841692,0.16005618251742,
4,0,3463,1388,245.985185103499,118.638848662559,0.569521401737967,0.234315353170219,50.0319699872852,78.1378119242428,0.1292973547881,0.165048116827934,
4,1,3817,1034,245.639030503583,117.659107844884,0.569566915478572,0.225372602689128,33.4739765152061,30.0271089103894,0.0947399571201669,0.0787734215789941,
4,2,3438,1413,286.24440010696,108.681506645074,0.643255320160071,0.216833785389061,22.3572515992048,24.2320121744335,0.0634419561912526,0.0631596457023853,
4,3,3102,1749,186.257044809702,137.017310218368,0.440071127746907,0.240931767129493,76.5936734844313,115.355517346254,0.184904435017597,0.216930740799837,
4,4,3254,1597,351.805793762143,222.658705777911,0.66574798148566,0.221447060828373,27.7934185057169,48.8731698144442,0.0754184420206408,0.117187680306148,
4,Average,17074,7181,263.330474927669,154.903445844147,0.579199126820655,0.240125766431298,43.7258998533145,75.0329875047269,0.1129244446399,0.153673345813811,
5,0,3242,1609,256.780687545203,205.540550086735,0.526205626168501,0.312222408443545,80.7962224995018,155.958273467882,0.17247320566698,0.231310077740959,
5,1,3287,1564,287.641479969071,78.9869427578028,0.660776839915162,0.151170761983917,17.3564831688437,35.5672906353248,0.0478759984003824,0.0893125277678218,
5,2,3388,1463,175.159284996291,116.588636900419,0.427599095765927,0.234965889831026,86.6549037961436,117.682209078314,0.21000362933951,0.228986484321074,
5,3,3732,1119,220.579987751502,129.166161793058,0.514556462384703,0.261450588874068,60.6802045230182,67.1199031094477,0.163443041400657,0.157239818343378,
5,4,2846,2005,225.518480526814,88.8068666499181,0.547607985285962,0.186313097724965,53.7787192841302,84.0002602884064,0.137901545536155,0.181621839151983,
5,Average,16495,7760,232.581406554425,137.519843180453,0.533825698274507,0.249330381528981,59.2332818244157,104.79295240365,0.144202077482912,0.193884279846362,
6,0,4851,0,0,0,0,0,NaN,NaN,NaN,NaN,
6,1,3625,1226,202.106325455608,148.812648249246,0.463134886883959,0.333213252380904,30.9071556803581,18.8291021373808,0.0884588699784475,0.0536383759921421,
6,2,3625,1226,202.106325455608,148.812648249246,0.463134886883959,0.333213252380904,30.9071556803581,18.8291021373808,0.0884588699784475,0.0536383759921421,
6,3,3951,900,213.008331377304,186.624468436704,0.454974108079265,0.339360486742973,97.3698709246061,216.551516684961,0.165328994081595,0.305988384742148,
6,4,3115,1736,308.272040517166,98.3115928520129,0.682988895926925,0.14974724789483,27.8027097518015,48.904343239226,0.0751803604964224,0.113286115942594,
6,Average,19167,5088,170.456210311257,168.283330825453,0.3799677070873,0.353017020241906,41.6043108666494,99.7603064555312,0.0975256190413481,0.152807782378076,
7,0,3076,1775,208.627876839163,113.686800972139,0.499712497730308,0.219726980865108,61.1796539672062,89.4372779074095,0.155968627028268,0.185189051470262,
7,1,3104,1747,244.701079095775,96.829481746352,0.579106556048822,0.195358054376482,59.3318376282868,105.483994721606,0.143673971625909,0.218622729259163,
7,2,3455,1396,289.448921914056,96.415728911925,0.654951770584577,0.170598626902008,21.8087428893328,23.0080679017238,0.0619245504148623,0.0592138529610116,
7,3,3717,1134,292.865703180252,101.842923679875,0.657402206851412,0.173418740651262,20.161558244354,26.644266897039,0.056812838695449,0.0661262293344515,
7,4,3139,1712,282.906141161987,111.123570894187,0.636069692180445,0.196795867944064,51.8658577259443,142.399703364543,0.10191844449046,0.230164232239631,
7,Average,16491,7764,265.475818307687,108.824602619057,0.608677916862823,0.199856793056009,45.6400266200196,96.4649553256049,0.109891750364901,0.182008420119228,
8,0,3106,1745,245.247144488691,96.5904902115713,0.580320963877119,0.1808478563833,39.6760923362348,54.4397878037929,0.107939779596689,0.1293197813917,
8,1,3239,1612,211.906898602556,85.2754165952494,0.522593175761526,0.182341530675243,40.4702408975938,63.5588076100766,0.107740542297326,0.139554034042792,
8,2,3524,1327,197.017321350396,133.450248417615,0.464598140305941,0.279756340576973,73.5295392224405,110.654173110395,0.179095564215881,0.2151661532696,
8,3,3349,1502,287.447147689962,226.140584007399,0.559980597032952,0.325795071144149,37.0469972464236,40.2952051420276,0.103334107930949,0.100098537442713,
8,4,3548,1303,227.359309804856,95.1199129348016,0.548008672017627,0.191708357034376,43.9946547496761,71.8270666042465,0.11553962674553,0.167904350384152,
8,Average,16766,7489,233.31292166263,141.38921376499,0.533944282733746,0.243973165892525,46.0697199899565,71.5539529416648,0.120903785158992,0.15475863046123,
9,0,3166,1685,259.729701421869,85.1205423317433,0.611852283101668,0.171579899143822,29.9614982778911,34.9950721208904,0.0842434711490916,0.0921479557347667,
9,1,3609,1242,250.904794634035,130.788486730447,0.56946581962673,0.269607456374086,18.2930649094455,13.3352286321876,0.0524876661113897,0.0378184161448385,
9,2,3816,1035,307.682444211873,246.208860089007,0.573166347212612,0.313258754551495,44.5411266730188,43.0744644400508,0.124293965902098,0.10981545316332,
9,3,4003,848,251.810428511126,133.415681899335,0.569489254026605,0.279910876163177,29.927565769929,52.7787130442173,0.0813009877296293,0.133338955040266,
9,4,4024,827,249.373034485415,128.006311607797,0.569102884087444,0.271570666061668,16.0542750750677,10.7469852011096,0.0461258522230736,0.0308200512413689,
9,Average,18618,5637,263.90643902394,157.62849120583,0.577358724982949,0.26877802986451,28.0221108004849,35.7149308078585,0.078565460757219,0.0926305678226562,
Average,,164643,77907,246.275823163368,151.183110410092,0.549886182959082,0.26771872542022,44.7050337729175,91.6485388018026,0.109684513117007,0.172894823739437,
